user,code,nav,share,cost
Winson,519671,1.4737,3283.20,4836.46
Winson,000968,0.9551,1441.76,1377
Winson,090010,1.6599,2986.47,4957.25
Winson,530015,2.2171,1283.00,2844.60
Winson,003318,0.9494,4741.49,4501.50
Winson,070023,1.8571,394.33,732.30
Winson,001594,1.2569,2697.29,3389.99
Winson,002147,1.2030,8651.26,10389.05
Winson,007749,1.0485,4753.24,5177.72
Winson,006060,1.0813,4800.10,5165.24
Winson,485011,1.5306,1007.69,2604.56
Winson,001338,1.3350,1948.55,2582.75
Ice,002147,1.2058,6678.010,8052.350
Ice,007749,1.0589,3777.580,4000.080
Ice,006060,1.0881,3696.500,4022.160
Ice,485011,1.5390,1300.870,2002.040
Ice,001338,1.3474,1487.350,2004.050
Winson,501021,1.4179,179.14,254
Winson,001548,1.2310,863.94,1063.5
Donna,519153,1.1672,20553.20,23989
Donna,006320,1.0015,17977.33,18004
Donna,002086,1.2527,14374.36,18007
Winson,160632,1.1653,643.60,705